DATE,UIGFULL
2022-08-01,6.26723
2022-09-01,6.19694
2022-10-01,6.00018
2022-11-01,5.78066
2022-12-01,5.46212
2023-01-01,5.19439
2023-02-01,4.87757
2023-03-01,4.46151
2023-04-01,4.09095
2023-05-01,3.64523
2023-06-01,3.27062
2023-07-01,3.10996
2023-08-01,3.03202
2023-09-01,2.87444
