DATE,IC4WSA
1980-03-01,424400.000000000000
1980-04-01,492125.000000000000
1980-05-01,591900.000000000000
1980-06-01,615500.000000000000
1980-07-01,579875.000000000000
1980-08-01,542500.000000000000
1980-09-01,498000.000000000000
1980-10-01,454250.000000000000
1980-11-01,417200.000000000000
1980-12-01,411562.500000000000
1981-01-01,411200.000000000000
1981-02-01,420562.500000000000
1981-03-01,417187.500000000000
1981-04-01,407625.000000000000
1981-05-01,416050.000000000000
1981-06-01,424750.000000000000
1981-07-01,438250.000000000000
1981-08-01,442400.000000000000
1981-09-01,459875.000000000000
1981-10-01,486900.000000000000
1981-11-01,505125.000000000000
1981-12-01,538750.000000000000
1982-01-01,531750.000000000000
1982-02-01,545437.500000000000
1982-03-01,544250.000000000000
1982-04-01,576500.000000000000
1982-05-01,584900.000000000000
1982-06-01,598187.500000000000
1982-07-01,580400.000000000000
1982-08-01,605750.000000000000
1982-09-01,649500.000000000000
1982-10-01,662450.000000000000
1982-11-01,608250.000000000000
1982-12-01,558562.500000000000
1983-01-01,505300.000000000000
1983-02-01,491437.500000000000
1983-03-01,483062.500000000000
1983-04-01,490850.000000000000
1983-05-01,481437.500000000000
1983-06-01,451125.000000000000
1983-07-01,418250.000000000000
1983-08-01,423625.000000000000
1983-09-01,419000.000000000000
1983-10-01,405550.000000000000
1983-11-01,394750.000000000000
1983-12-01,375100.000000000000
1984-01-01,358687.500000000000
1984-02-01,343875.000000000000
1984-03-01,344350.000000000000
1984-04-01,360125.000000000000
1984-05-01,364750.000000000000
1984-06-01,360050.000000000000
1984-07-01,361375.000000000000
1984-08-01,376000.000000000000
1984-09-01,394300.000000000000
1984-10-01,408375.000000000000
1984-11-01,414312.500000000000
1984-12-01,393850.000000000000
1985-01-01,375250.000000000000
1985-02-01,382875.000000000000
1985-03-01,383850.000000000000
1985-04-01,394437.500000000000
1985-05-01,391937.500000000000
1985-06-01,394000.000000000000
1985-07-01,385750.000000000000
1985-08-01,393200.000000000000
1985-09-01,410312.500000000000
1985-10-01,402812.500000000000
1985-11-01,399100.000000000000
1985-12-01,388250.000000000000
1986-01-01,375187.500000000000
1986-02-01,363562.500000000000
1986-03-01,376600.000000000000
1986-04-01,386812.500000000000
1986-05-01,388600.000000000000
1986-06-01,374187.500000000000
1986-07-01,365812.500000000000
1986-08-01,394950.000000000000
1986-09-01,398312.500000000000
1986-10-01,389000.000000000000
1986-11-01,366350.000000000000
1986-12-01,364125.000000000000
1987-01-01,343950.000000000000
1987-02-01,353687.500000000000
1987-03-01,338312.500000000000
1987-04-01,333937.500000000000
1987-05-01,331750.000000000000
1987-06-01,326812.500000000000
1987-07-01,320687.500000000000
1987-08-01,325600.000000000000
1987-09-01,312437.500000000000
1987-10-01,304800.000000000000
1987-11-01,301187.500000000000
1987-12-01,315500.000000000000
1988-01-01,328300.000000000000
1988-02-01,327187.500000000000
1988-03-01,311250.000000000000
1988-04-01,309850.000000000000
1988-05-01,312875.000000000000
1988-06-01,310937.500000000000
1988-07-01,313200.000000000000
1988-08-01,322687.500000000000
1988-09-01,308812.500000000000
