,ESGU,EAGG,ESGE,ESML,SUSB,ESGD,SHY,SUSA,GOVT,MBB,SUSC,mu,sigma_p,CVaR,Var,Realized_r_t,Target_vol
0,0.26540972490578507,7.039908910962472e-08,0.458678864725832,0.2759104860694729,7.517295749765593e-08,1.2347514350272538e-07,8.006188947425556e-08,3.629125293570525e-07,6.056481837342174e-08,9.240258391728168e-08,5.930989869146393e-08,0.029457463387716886,0.04330127018943506,0.04301629647871779,0.02851778384156857,-0.004312621607096445,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9880101902376416,0.0,0.011989809762358417,0.0,0.01873569564893164,0.0349408224079994,0.042042040938725996,0.024023044656107887,0.005875978280096245,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.03084044753661444,0.0,0.0,0.9691595524633856,0.0,0.005030217890299547,0.0075446797696450945,0.008058818786014573,0.003501977809789078,0.0071429432322255805,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.033214395654910266,0.0,0.0,0.9667856043450898,0.0,0.003924853634718452,0.007326939003977191,0.008485868877292121,0.00537183290999542,0.0011596996911918125,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.10468170770561412,0.009735864321129509,0.7575264553704495,0.0,0.0,0.1280559726028069,0.0,0.00269964989248947,0.00346299244762948,0.003071982829184035,0.00214978599834611,7.343362875386925e-05,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.037646421349285246,0.0,0.0,0.9623535786507148,0.0,0.00375435353809214,0.007634388062345524,0.00917575185738937,0.005416928361483437,0.0062713387975294466,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.06332769476429449,0.0,0.0,0.9366723052357055,0.0,0.003402376303020386,0.007840836775991686,0.010705163753611843,0.007739547541188144,-0.006013441564284438,0.04330127018922193
0,0.0,0.0,0.34678699936216056,0.6413088355114258,0.0,0.0,3.671440218155848e-05,0.0,0.0,0.011867450724236906,0.0,0.02992221058341306,0.04330075965141388,0.04397766413997847,0.013514743224673435,-0.090080297007128,0.04330127018922193
0,0.0,0.0,0.17076388895592176,0.8292361110440782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036620756101231694,0.04055084376021532,0.029589145441996378,0.01777421235280746,0.02188825569480693,0.04330127018922193
0,0.12664242889867883,0.0,0.0,0.8733575711013212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03381041956342758,0.04330126451654471,0.04205074345530106,0.027606040213541114,-0.11664668708126143,0.04330127018922193
0,7.128895363171407e-08,3.1312122640072e-08,0.6774638227935288,0.3225357837178177,3.220082112960234e-08,7.154855247015366e-08,3.426832731900749e-08,6.355908742028302e-08,2.8794278262303775e-08,3.13568974488416e-08,2.9159613133713124e-08,0.02680910015994191,0.04330127018923533,0.04833421319855376,0.027547518885376158,0.12611683667745116,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.13822730145272302,0.0,0.0,0.861772698547277,0.0,0.0027845652762845756,0.006276229613929649,0.008142604539521679,0.006185141784141942,-0.003073017207446105,0.04330127018922193
0,0.0,0.0,0.0,0.0,0.0,0.0,0.03562949115988405,0.0,0.0,0.964370508840116,0.0,0.003942614974475458,0.006243044647547217,0.006834117151693301,0.004922992290115873,0.014195331737526979,0.04330127018922193
